,Click to star the Github Repo,,,,,,,Connect/Follow on LinkedIn,,,,Last updated:,2022-06-22 12:30 (GMT),
Q. No.,Name / Link,"Likes
(L)","Dislikes
(D)","Reactions
(L+D)","L/D
Ratio","Acceptance
Rate",Category,Topic Tags,Difficulty,Free?,"Has
Solution?","Has Video
Solution?","Total
Accepted","Total
Submitted"
25,Reverse Nodes in k-Group,7653,507,8160,15.09,51.77%,Algorithms,"Linked List, Recursion, ",Hard,TRUE,TRUE,FALSE,536214,1035802
142,Linked List Cycle II,7635,504,8139,15.15,44.74%,Algorithms,"Hash Table, Linked List, Two Pointers, ",Medium,TRUE,TRUE,FALSE,702810,1571033
54,Spiral Matrix,7579,851,8430,8.91,42.01%,Algorithms,"Array, Matrix, Simulation, ",Medium,TRUE,TRUE,FALSE,763460,1817130
7,Reverse Integer,7454,9980,17434,0.75,26.84%,Algorithms,"Math, ",Medium,TRUE,TRUE,FALSE,2111027,7866238
96,Unique Binary Search Trees,7443,299,7742,24.89,58.59%,Algorithms,"Math, Dynamic Programming, Tree, Binary Search Tree, Binary Tree, ",Medium,TRUE,TRUE,FALSE,494041,843288
114,Flatten Binary Tree to Linked List,7412,469,7881,15.8,58.39%,Algorithms,"Linked List, Stack, Tree, Depth-First Search, Binary Tree, ",Medium,TRUE,TRUE,FALSE,619540,1061029
221,Maximal Square,7377,157,7534,46.99,43.73%,Algorithms,"Array, Dynamic Programming, Matrix, ",Medium,TRUE,TRUE,FALSE,504208,1152976
148,Sort List,7372,236,7608,31.24,52.61%,Algorithms,"Linked List, Two Pointers, Divide and Conquer, Sorting, Merge Sort, ",Medium,TRUE,TRUE,FALSE,507005,963773
647,Palindromic Substrings,7359,163,7522,45.15,65.78%,Algorithms,"String, Dynamic Programming, ",Medium,TRUE,TRUE,FALSE,461083,700923
104,Maximum Depth of Binary Tree,7380,130,7510,56.77,72.23%,Algorithms,"Tree, Depth-First Search, Breadth-First Search, Binary Tree, ",Easy,TRUE,TRUE,FALSE,1746753,2418303
230,Kth Smallest Element in a BST,7371,135,7506,54.6,68.13%,Algorithms,"Tree, Depth-First Search, Binary Search Tree, Binary Tree, ",Medium,TRUE,TRUE,FALSE,835851,1226932
208,Implement Trie (Prefix Tree),7367,93,7460,79.22,58.99%,Algorithms,"Hash Table, String, Design, Trie, ",Medium,TRUE,TRUE,FALSE,607730,1030284
739,Daily Temperatures,7316,162,7478,45.16,67.38%,Algorithms,"Array, Stack, Monotonic Stack, ",Medium,TRUE,TRUE,FALSE,410534,609280
24,Swap Nodes in Pairs,7273,302,7575,24.08,59.21%,Algorithms,"Linked List, Recursion, ",Medium,TRUE,TRUE,FALSE,896999,1514966
153,Find Minimum in Rotated Sorted Array,7251,404,7655,17.95,48.1%,Algorithms,"Array, Binary Search, ",Medium,TRUE,TRUE,FALSE,975348,2027833
295,Find Median from Data Stream,7221,131,7352,55.12,50.57%,Algorithms,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream, ",Hard,TRUE,TRUE,FALSE,476999,943243
51,N-Queens,7225,176,7401,41.05,60.73%,Algorithms,"Array, Backtracking, ",Hard,TRUE,TRUE,FALSE,425907,701359
91,Decode Ways,7166,3872,11038,1.85,30.61%,Algorithms,"String, Dynamic Programming, ",Medium,TRUE,TRUE,TRUE,804726,2629254
338,Counting Bits,7139,338,7477,21.12,74.55%,Algorithms,"Dynamic Programming, Bit Manipulation, ",Easy,TRUE,TRUE,FALSE,602604,808305
494,Target Sum,7154,267,7421,26.79,45.36%,Algorithms,"Array, Dynamic Programming, Backtracking, ",Medium,TRUE,TRUE,FALSE,365034,804668
131,Palindrome Partitioning,7154,225,7379,31.8,60.35%,Algorithms,"String, Dynamic Programming, Backtracking, ",Medium,TRUE,TRUE,FALSE,471730,781597
26,Remove Duplicates from Sorted Array,7042,10654,17696,0.66,49.32%,Algorithms,"Array, Two Pointers, ",Easy,TRUE,TRUE,TRUE,2218752,4498899
994,Rotting Oranges,7030,279,7309,25.2,51.89%,Algorithms,"Array, Breadth-First Search, Matrix, ",Medium,TRUE,TRUE,FALSE,410011,790167
1143,Longest Common Subsequence,7050,77,7127,91.56,58.96%,Algorithms,"String, Dynamic Programming, ",Medium,TRUE,TRUE,FALSE,442588,750598
210,Course Schedule II,7022,243,7265,28.9,46.99%,Algorithms,"Depth-First Search, Breadth-First Search, Graph, Topological Sort, ",Medium,TRUE,TRUE,FALSE,648427,1380033
297,Serialize and Deserialize Binary Tree,6921,264,7185,26.22,54.11%,Algorithms,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree, ",Hard,TRUE,TRUE,FALSE,629038,1162550
279,Perfect Squares,6898,301,7199,22.92,52.01%,Algorithms,"Math, Dynamic Programming, Breadth-First Search, ",Medium,TRUE,TRUE,FALSE,538433,1035297
209,Minimum Size Subarray Sum,6905,201,7106,34.35,43.78%,Algorithms,"Array, Binary Search, Sliding Window, Prefix Sum, ",Medium,TRUE,TRUE,FALSE,548701,1253244
85,Maximal Rectangle,6856,109,6965,62.9,43.14%,Algorithms,"Array, Dynamic Programming, Stack, Matrix, Monotonic Stack, ",Hard,TRUE,TRUE,FALSE,301772,699501
116,Populating Next Right Pointers in Each Node,6828,240,7068,28.45,57.85%,Algorithms,"Linked List, Tree, Depth-First Search, Breadth-First Search, Binary Tree, ",Medium,TRUE,TRUE,FALSE,775194,1340100
199,Binary Tree Right Side View,6810,364,7174,18.71,59.91%,Algorithms,"Tree, Depth-First Search, Breadth-First Search, Binary Tree, ",Medium,TRUE,TRUE,FALSE,700488,1169194
448,Find All Numbers Disappeared in an Array,6752,392,7144,17.22,59.24%,Algorithms,"Array, Hash Table, ",Easy,TRUE,TRUE,FALSE,592537,1000292
617,Merge Two Binary Trees,6739,247,6986,27.28,78.12%,Algorithms,"Tree, Depth-First Search, Breadth-First Search, Binary Tree, ",Easy,TRUE,TRUE,FALSE,581033,743813
